WORD,DEFINITION,ID,LIST_CATEGORY,WORD_ID
assuage,make smth (pain desire) less       ,73,GRE,GRE_73
asterisk,the mark * (e.g.. omitted letters)      ,74,GRE,GRE_74
astringent,substance that shrinks         ,75,GRE,GRE_75
astute,clever quick at seeing to get an advantage    ,76,GRE,GRE_76
atonement,repayment death of Jesus        ,77,GRE,GRE_77
attenuate,make thin. weaken enervate        ,78,GRE,GRE_78
attune,bring into harmony       ,79,GRE,GRE_79
audacious,daring foolishly bold impudent        ,80,GRE,GRE_80
augury,omen sign          ,81,GRE,GRE_81
august,majestic venerable          ,82,GRE,GRE_82
auspicious,favorable successful prosperous         ,83,GRE,GRE_83
austere,severely moral and strict simple and plain     ,84,GRE,GRE_84
auxiliary,helping supporting          ,85,GRE,GRE_85
aver,affirm assert prove justify        ,86,GRE,GRE_86
aversion,strong dislike          ,87,GRE,GRE_87
avid,eager greedy          ,88,GRE,GRE_88
avow,admit. Declare openly         ,89,GRE,GRE_89
baleful,harmful ominous causing evil        ,90,GRE,GRE_90
balk,obstacle purposely to get on the way of    ,91,GRE,GRE_91
baneful,causing harm or ruin pernicious destructive      ,92,GRE,GRE_92
barrage,artificial obstacle built across a river      ,93,GRE,GRE_93
barren,not good enough unable to have young ones without value  ,94,GRE,GRE_94
bask,in enjoy warmth and light       ,95,GRE,GRE_95
beatify,to bless make happy or ascribe a virtue to   ,96,GRE,GRE_96
bedizen,to adorn especially in a cheap showy manner    ,97,GRE,GRE_97
belabor,beat hard        ,98,GRE,GRE_98
bellicose,belligerent pugnacious warlike         ,99,GRE,GRE_99
belligerent,(person nation) waging war        ,100,GRE,GRE_100
benefactor,person who has given help       ,101,GRE,GRE_101
benevolence,wish or activity in doing good      ,102,GRE,GRE_102
benign,kind and gentle mild (climate)       ,103,GRE,GRE_103
bequest,arrangement to give smth at death      ,104,GRE,GRE_104
berate,scold sharply          ,105,GRE,GRE_105
bereft,rob or dispossess of smth (material)      ,106,GRE,GRE_106
bewilder,puzzle confuse          ,107,GRE,GRE_107
bigot,stubborn narrow-minded person         ,108,GRE,GRE_108
bilge,bulge the protuberance of a cask      ,109,GRE,GRE_109
blandishment,flattery coaxing          ,110,GRE,GRE_110
blandness,polite manner comforting uninteresting        ,111,GRE,GRE_111
blatant,noisy and rough         ,112,GRE,GRE_112
blithe,cheerful casual carefree         ,113,GRE,GRE_113
bogus,sham counterfeit not genuine        ,114,GRE,GRE_114
boisterous,loud noisy rough lacking restraint       ,115,GRE,GRE_115
bolster,give greatly needed support        ,116,GRE,GRE_116
boorish,crude offensive rude         ,117,GRE,GRE_117
brash,hasty rush cheeky saucy        ,118,GRE,GRE_118
brass,yellow metal (mixing copper and zinc)      ,119,GRE,GRE_119
brazen,made of brass         ,120,GRE,GRE_120
breach,opening broken place breaking        ,121,GRE,GRE_121
brittle,easily broken          ,122,GRE,GRE_122
broach,bring up announce begin to talk about     ,123,GRE,GRE_123
brook,to tolerate endure         ,124,GRE,GRE_124
buoyant,able to float light-hearted        ,125,GRE,GRE_125
burgeon,grow forth send out buds       ,126,GRE,GRE_126
burnish,to polish rub to a shine      ,127,GRE,GRE_127
cabal,a scheme or plot a group of plotters    ,128,GRE,GRE_128
cadge,to beg to get by begging      ,129,GRE,GRE_129
cajole,use flattery or deceit to persuade    ,130,GRE,GRE_130
calipers,metal supports attached to the legs measuring instrument    ,131,GRE,GRE_131
calumny,slander aspersion          ,132,GRE,GRE_132
candid,frank straight-forward          ,133,GRE,GRE_133
cant,insincere talk/jargon        ,134,GRE,GRE_134
cantankerous,bad-tempered/quarrelsome         ,135,GRE,GRE_135
canvass,discuss thoroughly sort of touting       ,136,GRE,GRE_136
castigate,to chastise correct by punishing       ,137,GRE,GRE_137
castigation,severe punishment          ,138,GRE,GRE_138
catalyst,substance that causes speeding up       ,139,GRE,GRE_139
caustic,biting sarcastic          ,140,GRE,GRE_140
censure,expression of blame or disapproval a rebuke     ,141,GRE,GRE_141
centurion,leader of a unit of 100 soldiers     ,142,GRE,GRE_142
chary,cautious wary          ,143,GRE,GRE_143
chastened,corrected punished          ,144,GRE,GRE_144
chastisement,punishment           ,145,GRE,GRE_145
chauvinist,a blindly devoted patriot        ,146,GRE,GRE_146
chicanery,legal trickery/false argument       ,147,GRE,GRE_147
chisel,steel tool for shaping materials       ,148,GRE,GRE_148
churl,bad-tempered person          ,149,GRE,GRE_149
clamor,shout complain with a lot of noise     ,150,GRE,GRE_150
clientele,customers         ,151,GRE,GRE_151
clinch,come to grips/settle conclusively      ,152,GRE,GRE_152
cling,to resist separation         ,153,GRE,GRE_153
clot,half-solid lump formed from liquid       ,154,GRE,GRE_154
cloture,closing device (in Parliament) to end a debate by voting  ,155,GRE,GRE_155
coagulation,change to a thick and solid state   ,156,GRE,GRE_156
coalescing,coming together and uniting into one substance     ,157,GRE,GRE_157
coax,get smb to do smth by kindness     ,158,GRE,GRE_158
coda,passage that completes a piece of music   ,159,GRE,GRE_159
coddle,treat with care and tenderness       ,160,GRE,GRE_160
coerce,compel to force to make obedient      ,161,GRE,GRE_161
coeval,of the same period coexisting       ,162,GRE,GRE_162
cogent,strong convincing          ,163,GRE,GRE_163
cogitate,think deeply mediate         ,164,GRE,GRE_164
cognizant,being fully aware of        ,165,GRE,GRE_165
colander,bowl-shaped vessel with many holes used to drain off water  ,166,GRE,GRE_166
collusion,secret agreement for a deceitful purpose      ,167,GRE,GRE_167
combustion,process of burning         ,168,GRE,GRE_168
commemorate,keep the memory of        ,169,GRE,GRE_169
commodious,having plenty of space for what is needed  ,170,GRE,GRE_170
commuter,person who travels regularly        ,171,GRE,GRE_171
complaisance,tending to comply obliging willingness to please     ,172,GRE,GRE_172
compunction,feeling of regret for one's action      ,173,GRE,GRE_173
conceal,hide keep secret         ,174,GRE,GRE_174
conceit,over-high opinion of too much pride      ,175,GRE,GRE_175
conciliatory,reconciling soothing comforting mollifying        ,176,GRE,GRE_176
concord,agreement or harmony         ,177,GRE,GRE_177
concur,agree in opinion happen together       ,178,GRE,GRE_178
condense,increase in density strength make laconic      ,179,GRE,GRE_179
condone,forgive           ,180,GRE,GRE_180
congeal,make or become stiff and solid      ,181,GRE,GRE_181
conjoin,to join together         ,182,GRE,GRE_182
connoisseur,a person with good judgement (e.g.. in art)    ,183,GRE,GRE_183
connotation,suggestion in addition to        ,184,GRE,GRE_184
consequential,pompous self important         ,185,GRE,GRE_185
console,give comfort or sympathy to       ,186,GRE,GRE_186
conspicuous,easily seen remarkable         ,187,GRE,GRE_187
consternation,surprise and fear dismay        ,188,GRE,GRE_188
constrain,compel         ,189,GRE,GRE_189
constrict,make tight or smaller        ,190,GRE,GRE_190
consume,get to the end of       ,191,GRE,GRE_191
consummate,perfect/make perfect/complete        ,192,GRE,GRE_192
contemn,to scorn or despise        ,193,GRE,GRE_193
contentious,argumentative pugnacious combative quarrelsome        ,194,GRE,GRE_194
contiguous,touching neighboring near         ,195,GRE,GRE_195
contrite,filled with deep sorrow for wrongdoing      ,196,GRE,GRE_196
contumacious,insubordinate rebellious          ,197,GRE,GRE_197
conundrum,a riddle dilemma enigma        ,198,GRE,GRE_198
conviction,convincing firm belief         ,199,GRE,GRE_199
convoke,call together summon         ,200,GRE,GRE_200
convoluted,complicated coiled twisted         ,201,GRE,GRE_201
cordial,warm and sincere         ,202,GRE,GRE_202
cordon,line (of police acting as a guard)     ,203,GRE,GRE_203
cornucopia,abundant supply        ,204,GRE,GRE_204
corporeal,physical of or for the body      ,205,GRE,GRE_205
correlate,have a mutual relation        ,206,GRE,GRE_206
corroboration,additional strengthening evidence         ,207,GRE,GRE_207
countenance,to favor or approve of       ,208,GRE,GRE_208
counterfeit,forgery           ,209,GRE,GRE_209
countervail,counterbalance           ,210,GRE,GRE_210
covert,disguised           ,211,GRE,GRE_211
covetous,eagerly desirous          ,212,GRE,GRE_212
cower,crouch shrink back         ,213,GRE,GRE_213
coy,shy/modest (esp of a girl)     ,214,GRE,GRE_214
crass,very great (es. stupidity)      ,215,GRE,GRE_215
cravat,piece of linen worn as a necktie   ,216,GRE,GRE_216
craven,cowardly           ,217,GRE,GRE_217
crease,line made by crushing white line on the ground in cricket ,218,GRE,GRE_218
credulity,too great a readiness to believe things     ,219,GRE,GRE_219
credulous,ready to believe things        ,220,GRE,GRE_220
crush,press lose shape subdue overwhelm       ,221,GRE,GRE_221
cryptic,secret with a hidden meaning       ,222,GRE,GRE_222
cumbersome,burdensome heavy and awkward to carry      ,223,GRE,GRE_223
curmudgeon,bad-tempered person          ,224,GRE,GRE_224
curriculum,course of study         ,225,GRE,GRE_225
cursory,quick hurried          ,226,GRE,GRE_226
curtail,make shorter then was planned       ,227,GRE,GRE_227
dainty,pretty/delicate(food)/difficult to please       ,228,GRE,GRE_228
daunt,intimidate make fearful         ,229,GRE,GRE_229
dawdler,person who is slow waste of time     ,230,GRE,GRE_230
dearth,shortage           ,231,GRE,GRE_231
debacle,a breakup overthrow sudden disaster       ,232,GRE,GRE_232
decorum,propriety properness          ,233,GRE,GRE_233
decree,order given by authority        ,234,GRE,GRE_234
decry,disapprove of          ,235,GRE,GRE_235
defer,postpone give way (to show respect)      ,236,GRE,GRE_236
deferential,showing respect          ,237,GRE,GRE_237
defiance,open disobedience or resistance        ,238,GRE,GRE_238
delineate,to portray depict sketch out       ,239,GRE,GRE_239
deluge,great flood heavy rush of water      ,240,GRE,GRE_240
demagogue,person appealing not to reasons       ,241,GRE,GRE_241
demur,to hesitate raise objections        ,242,GRE,GRE_242
denigrate,blacken belittle sully defame        ,243,GRE,GRE_243
denouement,an outcome or solution the unraveling of a plot   ,244,GRE,GRE_244
deplete,use until none remains        ,245,GRE,GRE_245
deposition,dethronement depositing          ,246,GRE,GRE_246
deprave,make morally bad corrupt        ,247,GRE,GRE_247
deprecate,protest against express disapproval of       ,248,GRE,GRE_248
dereliction,deserting and leaving to fall into ruins     ,249,GRE,GRE_249
derision,ridicule mockery deriding         ,250,GRE,GRE_250
derivative,unoriginal obtained from another source       ,251,GRE,GRE_251
derogatory,insulting tending to damage        ,252,GRE,GRE_252
descry,catch sight of see smth in the distance    ,253,GRE,GRE_253
desiccant,substance used to absorb moisture       ,254,GRE,GRE_254
desuetude,cessation of use disuse        ,255,GRE,GRE_255
desultory,aimless haphazard digressing at random       ,256,GRE,GRE_256
deter,discourage hinder          ,257,GRE,GRE_257
detraction,slandering verbal attack aspersion        ,258,GRE,GRE_258
detumescence,diminishing or lessening of swelling       ,259,GRE,GRE_259
deviance,being different in moral standards (from normal)     ,260,GRE,GRE_260
dexterity,skill (esp. in handling)        ,261,GRE,GRE_261
diaphanous,transparent gauzy          ,262,GRE,GRE_262
diatribe,bitter and violent attack in words      ,263,GRE,GRE_263
diffidence,shyness           ,264,GRE,GRE_264
dilate,speak comprehensively become wider large       ,265,GRE,GRE_265
disallow,refuse to allow or accept as a correct    ,266,GRE,GRE_266
discern,see with an effort but clearly      ,267,GRE,GRE_267
discomfit,confuse embarrass          ,268,GRE,GRE_268
disconcert,upset the self-possession of        ,269,GRE,GRE_269
discountenance,refuse to approve of        ,270,GRE,GRE_270
discourse,speech lecture          ,271,GRE,GRE_271
discredit,refuse to believe         ,272,GRE,GRE_272
discreet,careful/prudent         ,273,GRE,GRE_273
discrete,individually distinct        ,274,GRE,GRE_274
disdain,look on with contempt        ,275,GRE,GRE_275
disencumber,free from encumbrance         ,276,GRE,GRE_276
disheveled,untidy           ,277,GRE,GRE_277
disingenuous,sophisticated artful trying to deceive cunning      ,278,GRE,GRE_278
disinter,dig up from the earth       ,279,GRE,GRE_279
dislodge,move force from the place occupied      ,280,GRE,GRE_280
dismal,sad gloomy miserable         ,281,GRE,GRE_281
disparate,essentially different          ,282,GRE,GRE_282
disproof,proof to the contrary      ,283,GRE,GRE_283
dissemble,speak or behave so as to hide smth (in mind)  ,284,GRE,GRE_284
disseminate,distribute (esp. ideas)         ,285,GRE,GRE_285
dissent,have a different opinion refuse to assent     ,286,GRE,GRE_286
dissolution,disintegration looseness in morals        ,287,GRE,GRE_287
distraught,distracted violently upset in mind       ,288,GRE,GRE_288
divergence,getting farther apart from a point      ,289,GRE,GRE_289
divestiture,taking off getting rid of giving up     ,290,GRE,GRE_290
divulge,make known smth secret        ,291,GRE,GRE_291
doggerel,trivial poorly constructed verse        ,292,GRE,GRE_292
dogmatic,positive certain arbitrary without room for discussion     ,293,GRE,GRE_293
dolt,stupid fellow          ,294,GRE,GRE_294
dormant,in a state of inactivity but awaiting development    ,295,GRE,GRE_295
dote,show much fondness center one's attention      ,296,GRE,GRE_296
drawl,slow way of speaking      ,297,GRE,GRE_297
droll,jesting         ,298,GRE,GRE_298
drone,male bee person who isn't self-employed      ,299,GRE,GRE_299
drowsiness,feeling sleepy half asleep        ,300,GRE,GRE_300
dubious,feeling doubt          ,301,GRE,GRE_301
dud,no use person smth that fails      ,302,GRE,GRE_302
dulcet,melodious harmonious          ,303,GRE,GRE_303
dupe,cheat make a fool of       ,304,GRE,GRE_304
duplicity,deliberate deception          ,305,GRE,GRE_305
duress,threats to compel smb        ,306,GRE,GRE_306
dwarf,person or smb much below the usual size    ,307,GRE,GRE_307
dynamo,a generator something that produces electric current     ,308,GRE,GRE_308
earthenware,dishes made of baked clay       ,309,GRE,GRE_309
ebullience,exuberance outburst of feeling        ,310,GRE,GRE_310
ebullient,overflowing with enthusiasm showing excitement       ,311,GRE,GRE_311
ecumenical,representing the whole Christian world       ,312,GRE,GRE_312
edacious,voracious devouring          ,313,GRE,GRE_313
eddy,circular or spiral movement (e.g.. of wind)     ,314,GRE,GRE_314
edible,fit to be eaten/not poisonous     ,315,GRE,GRE_315
effete,infertile worn out weak        ,316,GRE,GRE_316
efficacy,production of a desired result       ,317,GRE,GRE_317
effluvia,outflow in a stream of particles a noxious odor or vapor ,318,GRE,GRE_318
effrontery,boldness impudence arrogance         ,319,GRE,GRE_319
egress,way out exit         ,320,GRE,GRE_320
elaborate,worked out with much care in great detail    ,321,GRE,GRE_321
elegy,a lament a melancholy composition       ,322,GRE,GRE_322
elicit,draw out          ,323,GRE,GRE_323
eloquence,fluent speaking skillful use of language      ,324,GRE,GRE_324
emaciate,make thin and weak        ,325,GRE,GRE_325
embellish,make beautiful          ,326,GRE,GRE_326
embezzle,use in a wrong way for one's own benefit   ,327,GRE,GRE_327
emote,stir up excite         ,328,GRE,GRE_328
empirical,relying on experiment         ,329,GRE,GRE_329
encapsulate,enclose in capsule         ,330,GRE,GRE_330
encomium,warm or glowing praise eulogy panegyric      ,331,GRE,GRE_331
encumbrance,burden things that get on the way of    ,332,GRE,GRE_332
endearing,making dear or liked        ,333,GRE,GRE_333
endemic,epidemic           ,334,GRE,GRE_334
endorse,write one's name on the back of     ,335,GRE,GRE_335
enduring,lasting           ,336,GRE,GRE_336
enervate,weaken deprive of strength attenuate       ,337,GRE,GRE_337
engender,cause produce give rise to       ,338,GRE,GRE_338
engrave,impress deeply          ,339,GRE,GRE_339
engrossing,taken up all the time or attention writing in large or formal,340,GRE,GRE_340
engulf,swallow up          ,341,GRE,GRE_341
enigma,smth that is puzzling        ,342,GRE,GRE_342
enmity,hatred being an enemy        ,343,GRE,GRE_343
ensign,flag/badge         ,344,GRE,GRE_344
entangle,put into difficulties         ,345,GRE,GRE_345
enthral,please greatly/enslave (fig)       ,346,GRE,GRE_346
entice,tempt or persuade       ,347,GRE,GRE_347
entreat,ask earnestly          ,348,GRE,GRE_348
enunciate,pronounce (words)/express a theory      ,349,GRE,GRE_349
enzyme,catalyst           ,350,GRE,GRE_350
epicurean,devoted to pleasure (sensuous enjoyment)       ,351,GRE,GRE_351
epistle,letter           ,352,GRE,GRE_352
epithet,adjective           ,353,GRE,GRE_353
epitome,brief summary representative example a typical model     ,354,GRE,GRE_354
equable,steady regular          ,355,GRE,GRE_355
equanimity,calmness of temperament         ,356,GRE,GRE_356
equilibrium,state of being balanced        ,357,GRE,GRE_357
equipoise,equal distribution of weight equilibrium       ,358,GRE,GRE_358
equivocal,having a double or doubtful meaning suspicious     ,359,GRE,GRE_359
equivocate,try to deceive by equivocal language      ,360,GRE,GRE_360
eradicate,get rid of pull up by the roots    ,361,GRE,GRE_361
erratic,irregular in behaviour or opinion       ,362,GRE,GRE_362
erudite,learned scholarly          ,363,GRE,GRE_363
eschew,avoid         ,364,GRE,GRE_364
esoteric,abstruse intended only for a small circle of    ,365,GRE,GRE_365
espouse,marry give one's support to       ,366,GRE,GRE_366
eulogy,formal praise panegyric         ,367,GRE,GRE_367
euphoria,elation state of pleasant excitement       ,368,GRE,GRE_368
euthanasia,easy and painless death        ,369,GRE,GRE_369
evasive,tending to evade       ,370,GRE,GRE_370
evince,to show clearly to indicate       ,371,GRE,GRE_371
evoke,call up bring out        ,372,GRE,GRE_372
excoriation,severe criticism          ,373,GRE,GRE_373
exculpate,to clear from a charge of guilt     ,374,GRE,GRE_374
exhaustive,complete thorough          ,375,GRE,GRE_375
exigency,emergency an urgent situation        ,376,GRE,GRE_376
exoneration,set smb clear free (e.g.. from blame)     ,377,GRE,GRE_377
exorbitant,much too high or great       ,378,GRE,GRE_378
expatiate,to roam wander freely        ,379,GRE,GRE_379
expedient,likely to be useful for a purpose     ,380,GRE,GRE_380
expiation,ending expiring          ,381,GRE,GRE_381
exploit,brilliant achievement develop use selfishly       ,382,GRE,GRE_382
expostulate,argue earnestly to dissuade correct or protest     ,383,GRE,GRE_383
expurgate,to remove obscenity purify censor       ,384,GRE,GRE_384
exscind,to cut out cut away       ,385,GRE,GRE_385
extant,still in existence         ,386,GRE,GRE_386
extempore,without previous thought or preparation     ,387,GRE,GRE_387
extenuate,reduce the strength of lessen seriousness partially excuse    ,388,GRE,GRE_388
extinct,no longer active         ,389,GRE,GRE_389
extinguish,end the existence of/wipe or put out   ,390,GRE,GRE_390
extirpate,to destroy exterminate cut out exscind      ,391,GRE,GRE_391
extol,praise highly          ,392,GRE,GRE_392
extort,obtain by threats violence        ,393,GRE,GRE_393
extralegal,outside the law         ,394,GRE,GRE_394
extricable,that can be freed        ,395,GRE,GRE_395
extrovert,cheerful person          ,396,GRE,GRE_396
exuberance,state of growing vigorously being full of life    ,397,GRE,GRE_397
facetious,humorous funny jocular         ,398,GRE,GRE_398
facile,easily done          ,399,GRE,GRE_399
fallacious,based on error         ,400,GRE,GRE_400
falter,waver/move in an uncertain manner     ,401,GRE,GRE_401
fatuous,without sense foolish self-satisfaction        ,402,GRE,GRE_402
fawn,young deer try to win smb's favor     ,403,GRE,GRE_403
feckless,lacking purpose or vitality ineffective careless      ,404,GRE,GRE_404
fecund,fertile           ,405,GRE,GRE_405
feint,pretend           ,406,GRE,GRE_406
felicitous,apt suitably expressed well chosen apropos      ,407,GRE,GRE_407
felon,person guilty of murder        ,408,GRE,GRE_408
ferment,substance become excited         ,409,GRE,GRE_409
ferocity,savage cruelty          ,410,GRE,GRE_410
ferret,discover by searching search        ,411,GRE,GRE_411
fervid,showing earnest feeling         ,412,GRE,GRE_412
fervor,warmth of feelings earnestness        ,413,GRE,GRE_413
fetid,stinking         ,414,GRE,GRE_414
fetter,to shackle put in chains       ,415,GRE,GRE_415
feud,bitter quarrel over a long period of time    ,416,GRE,GRE_416
fidelity,loyalty accuracy          ,417,GRE,GRE_417
fidget,move restlessly make nervous        ,418,GRE,GRE_418
figurehead,carved image on the prow of a ship    ,419,GRE,GRE_419
finesse,delicate way of dealing with a situation     ,420,GRE,GRE_420
finical,too fussy about food clothing etc.      ,421,GRE,GRE_421
finicky,finical           ,422,GRE,GRE_422
fission,splitting or division (esp. of cells)      ,423,GRE,GRE_423
fixate,stare at          ,424,GRE,GRE_424
flak,criticism/anti-aircraft guns        ,425,GRE,GRE_425
flamboyant,brightly colored florid         ,426,GRE,GRE_426
flaunting,show off complacently         ,427,GRE,GRE_427
flax,pale yellow (hair) a plant       ,428,GRE,GRE_428
fledged,able to fly trained experienced       ,429,GRE,GRE_429
fleet,number of ships quick-moving        ,430,GRE,GRE_430
flinch,draw move back wince        ,431,GRE,GRE_431
flop,fail/move/fall clumsily        ,432,GRE,GRE_432
florid,very much ornamented naturally red (e.g.. of face)    ,433,GRE,GRE_433
flout,reject mock to go against (as in going against tradition)  ,434,GRE,GRE_434
fluke,lucky stroke        ,435,GRE,GRE_435
fluster,make nervous or confused        ,436,GRE,GRE_436
foible,defect of character (a person is wrongly proud)    ,437,GRE,GRE_437
foil,prevent from carrying out contrast       ,438,GRE,GRE_438
foment,put smth warm (to lessen the pain)     ,439,GRE,GRE_439
foolproof,incapable of failure or error     ,440,GRE,GRE_440
foppish,like a man who pays too much attention to his clothes ,441,GRE,GRE_441
forage,food for horses and cattle     ,442,GRE,GRE_442
forbear,refrain from be patient ancestor       ,443,GRE,GRE_443
forbearance,patience willingness to wait        ,444,GRE,GRE_444
ford,shallow place in a river (to cross)     ,445,GRE,GRE_445
forestall,prevent by taking action in advance preempt     ,446,GRE,GRE_446
forfeit,suffer the loss of smth       ,447,GRE,GRE_447
forge,workshop for the shaping of metal to shape metal lead  ,448,GRE,GRE_448
forgery,counterfeit           ,449,GRE,GRE_449
forswear,renounce disallow repudiate         ,450,GRE,GRE_450
foster,nurture care for         ,451,GRE,GRE_451
fracas,noisy quarrel        ,452,GRE,GRE_452
fragile,easily injured broken or destroyed       ,453,GRE,GRE_453
fragrant,sweet-smelling           ,454,GRE,GRE_454
frantic,wildly excited with joy pain anxiety      ,455,GRE,GRE_455
frenetic,frantic frenzied          ,456,GRE,GRE_456
fret,worry irritation wear away        ,457,GRE,GRE_457
fringe,edge ornamental border part of hair over the forehead   ,458,GRE,GRE_458
froward,intractable not willing to yield or comply stubborn    ,459,GRE,GRE_459
frugal,careful economical          ,460,GRE,GRE_460
fulmination,bitter protest          ,461,GRE,GRE_461
fulsome,disgusting offensive due to excessiveness       ,462,GRE,GRE_462
gainsay,to deny to oppose,463,GRE,GRE_463
garble,make unfair selection from facts     ,464,GRE,GRE_464
garment,article of clothing         ,465,GRE,GRE_465
garner,to gather and save to store up     ,466,GRE,GRE_466
garrulity,talkativeness           ,467,GRE,GRE_467
garrulous,too talkative          ,468,GRE,GRE_468
gaucherie,socially awkward tactless behavior        ,469,GRE,GRE_469
germane,relevant pertinent to         ,470,GRE,GRE_470
gist,the point general sense        ,471,GRE,GRE_471
glean,gather facts in small quantities       ,472,GRE,GRE_472
glib,ready and smooth but not sincere      ,473,GRE,GRE_473
glimmer,weak/unsteady light        ,474,GRE,GRE_474
gloat,over look at with selfish delight      ,475,GRE,GRE_475
glut,supply to much fill to excess      ,476,GRE,GRE_476
gnaw,waste away bite steadily        ,477,GRE,GRE_477
goad,smth urging a person to action      ,478,GRE,GRE_478
gorge,eat greedily/narrow opening with a stream    ,479,GRE,GRE_479
gossamer,soft light delicate material        ,480,GRE,GRE_480
gouge,tool for cutting grooves in wood      ,481,GRE,GRE_481
grandiloquent,using pompous words       ,482,GRE,GRE_482
grave,serious requiring consideration         ,483,GRE,GRE_483
graze,touch or scrape lightly in passing    ,484,GRE,GRE_484
gregarious,living in societies liking the company      ,485,GRE,GRE_485
grievous,causing grief or pain serious dire grave     ,486,GRE,GRE_486
grovel,crawl humble oneself         ,487,GRE,GRE_487
guile,deceit cunning          ,488,GRE,GRE_488
gullible,easily gulled          ,489,GRE,GRE_489
gush,burst out suddenly/talk ardently      ,490,GRE,GRE_490
gust,outburst of feeling sudden rain wind fire etc.    ,491,GRE,GRE_491
hack,cut roughly hired horse        ,492,GRE,GRE_492
halcyon,calm and peaceful       ,493,GRE,GRE_493
hallow,to make holy consecrate        ,494,GRE,GRE_494
harangue,a long passionate speech        ,495,GRE,GRE_495
harbinger,smth or smb that foretells the coming of    ,496,GRE,GRE_496
harrow,to distress create stress or torment      ,497,GRE,GRE_497
